ID,Reviews,Satisfaction
4129,medication years    ve side effects brand medication   absolutely nothing   problem swelling feet switched certain generic manufacturer   however   believe got bad lot number side effects cleared right switched different rx manufacturer   scary   scary stuff   review coming 30 year registered medical technologist familiar quality control,Positive
4130,taking benazepril hctz 20 12 5 mg tablets     generic lotensin hct   also tickle throat need cough   joints started aching year also felt numbness 1 big toes comes goes   need urniate often annoying   live high altitude area drink water   vision seems changing may side effect drug   need check doctor,Positive
4131,prescribed benazapril side effects horrible   one minute dizzy   felt like fainting   could   drive   hardly could walk   got kinds body rashes tired could sleep forever   never take medication,Negative
4132,medicine ten years problems,Positive
4141,generic almost 7 years   trying two others awful   one side effects nothing live   throat tickling taking guess gotten used   minor things nothing stop using   increase 20 mgs day twice day less two years ago   dr thinks might alot pre menapausal issues though   inexpensive generic,Positive
4142,expercing hair loss   joint pain arms   sinus problems since started 6 months ago   anyone problems,Negative
4144,effective lowering bp   many side effects   constant tickle throat cough since beginning medicine   also severe muscle cramps post nasal drip   stopped medicine 6 weeks,Negative
4145,experienced several episodes extreme swelling lips   sinus doctor surgeon   beckley   wv suggests could lotensin take bp   dealing today   keeping area moist aquaphor  lip repair take benadryl recommended local doctor   similar reports,Positive
4149,taking lotensin 2 months   blood pressure come normal range   125 73 avg two months   seems general range everytime take   slight cough urge     cause cough often   noticed changes mucous salivary production   seem slightly lower energy level   compensating well   try keep moving   works   blood pressure   extremely high   140 100 range   high enough cause organ damage time arterial damage fairly quickly   generally happy med   seems similar hctz previously taking,Positive
4156,sun ancles would swell,Positive
4158,heart pounding   finger tips numb do   feel good,Negative
4167,reffered physican    ll call dr  readers     on call physican care 24 hours observation   impressed care well   wanted become one patients unfortunately   could take new patients   dr   never checked   relied doctor notes former physician physicians saw hospital also spent approx   5 8 mins   ending   everything looks good     till one day bad case food poisioning tainted fruit   feeling well   family took doctors office dr  admitted hospital   dr   took one bp medicine working years put medications   one lotensin   bp extremely low lowest 97 70 heart rate 110  since left hospital   thought symptoms daughter happen upon site   also pounding racing heart dry hacking cough   persistent often embarssing built up saliva mouth agonizing post nasal drip associated   feel light headed move talk extremely slow 85   day spent bed function way normally function   live independant   lively   engergetic   agressive   competitive lifestyle   want back family well   needless say   insisted take put back orignal bp medicine   refused put back insisted follow orders find another physician since time dr  made comment already released care leaving find someone else   ask questions   find researching   medical professionals hate   internet go reliable resources   dr    speciality pill pushing laptop carrying   take control life,Negative
4173,solved hypertension   experienced side effects    ve years,Positive
4175,bp medication ever working well,Positive
4182,short breath   chronic cough   feel bad alol time   energy,Negative
4189,treatment optimally effective treating hypertension   experience side effects   constant briny taste   dry eyes mouth   tiredness nausea   intake nutrition   least saltines     med 1 month symptoms ceased   however   blood pressure back dangerous level     would rather take med deal side effects minor compared alternative   take med     would willing go back med viable alternative options available,Positive
4195,even though cabg 5   5 bypass   surgery   given drug along coreg 12 5mg bid   bp text book perfect 140 80 entire time took   commented family md post nasal drip   told common refer   statin syndrome   changed diovan   biggest mistake  ve ever made   bp place     sicker since surgery   ever remember   worst stomach cramps  ve ever keep anything    ve fallen twice required sutures staples   instead returning lotensin   added hctz   feet look like  re going burst     weak stand without help   terrible pain back   kidney area   sides   go er tomorrow staples removed insist dropping hctz diovan return lotensin     final say treatment receive   md sees    re lucky   maybe 15 30 min day hospital   far   er visits falling    ve given four different instructions regarding bp med four different doctors   one   suggest checking qualifications   specialties   certifications   continuing education   etc   hctz   told check bp twice day high   take one      t           oh well   outstanding healthcare wonderful country world best everything   mds   crnp   md wannabe     handed god complex along license experience,Positive
4196,drug made dry hacking cough made tired   also heart pounded could even feel heart beating head disconcerting   stood 4 months,Negative
4204,well   taking clonidine hcl0 1 mg tablets many years   also took hzt think  s   concerning hypertention   well time know years apart   clonidine 0 1 mg    working anymore   general pract   went 0 2 mg   ok   finally   maybe couple years   hpertention hand   put lotrel 10 20mg nova     taking year half   maybe two years   never understood  re   understand worked     lotrel   help alot    and guess nova     know   help    giggle  sorry long letter   makes feel alot better get out thank   sincerly   michele bennett,Positive
4206,works like charm long remember take every day,Positive
4215,rating effectiveness side effects drug   reviews seem cover   want advise everyone much cheaper way get medications   doctor first prescribed lotrel   priced walmart   something like   72 month   supply   may   folks   nothing combination amlodipine benazepril   get doctor prescribe two drugs separately   mine problem     way   price drops   4     8 per month total exactly medication,Negative
4283,dry cough first month use,Positive
4315,ve taking lotrel 3 years developed side effects hair loss thinning   swollen ankles   fatigue   back joint pain decreased sex drive   going lotrel asking dr find another med control hypertension immediately,Negative
4327,script health insurance needed place order 10   discount purchased   nice   hit   whatsapp    1   775   7735306   call text    1   775   7735306   wickr kik   peterking2014   email   peterkings2014   gmail com   message code     med16   discreet delivery,Positive
4333,lotrel years long take medication daily manages htn,Positive
4345,rash itching resulting change medication,Negative
4351,believe losartan triggered trigeminal neuralgia   pain unbelievable   like root canal work without lignocaine   happened within hour taking first dose   quarter usual dose taken trial view previous side effects   ie 12 5mg  prescribed daily dose 50mg     also made feel generally unwell fatigue,Negative
4352,serious weight gain 40lbs 3 yrs   drug started   edema legs ankles   chronically stuffy nose sensation   ca   breathe     stomach discomfort   change heart rhythm   etc    providers ask   get information       tell side effects   happen part long list drug handout given pharmacist along drug   lotrel 10 20,Negative
4356,satisfied pharmacy changed suppliers   blue pill worked   new white one received last month needs double dose lower bp,Negative
4361,helps chest pain   breathing slight side affects trust save life tried lot different kind,Positive
4368,took losartan approx   6 months   suprised im still jere   horrible med   jave copd well thought disease progressing rapid pace   jad doc take   voila   breathing better almost immediately,Negative
4374,3 weeks enough energy walk mail box,Negative
4375,would like take drugs   way lower blood pressure without drugs  take vitamins   ca   seem keep pressures than7 days time,Negative
4380,put losartan could get benicar work well losartan bp still stays high put oct 2019 jan24 2020 thought lot stress cause sweating muscule cramps nasal stuffiness getting dizzy heart pounding ears chest tired sweating horrible thought stress started check bp day night med good would like stop tried call doctor   gone weekend side effects didnt list need meds keep bp night cant seem get anywhere doctor,Negative
4386,drug worked 2 years   experiencing chronic cough day night   within last 2 days sore throat   made appointment doctor   prescribing something else,Positive
4391,lower blood pressure almost stopped periods caused lot weird feelings   heart slowing going faster normal   sadness   exhausted   would   take,Negative
4394,ve taking drug 5 years   lowered blood pressure noticed weight gain change diet physical activity    ve also noticed lost sense smell,Positive
4400,started taking losartan 4 years ago   mostly noticed dizzyness   lower blood pressure within normal range   figured side effects minor time   since developed rapid heart beat   runny nose   leg cramps   extreme tinnitis   extreme dizzyness point almost passing   never occured losartan two weeks ago   stopped taking using supplements instead   felt terrible   without   symptoms almost gone     realize bad felt stopped taking   feel great   losartan slowly poison   stay away,Negative
4409,higher pressure headaches,Negative
4411,effective   personally,Positive
4412,losartan hctz first  caused lightheadedness   constipation   chest pressure   dc   went losartan   side effects worse   abdominal cramping   bladder cramping constipation   changed different drug,Negative
4413,caused severe arrythmia   coughing choking   weakness   dizziness   several years realizing happenning   problems resolved soon quiting use   including able quit meds arrythmia   still muscle weakness became permanently disabled result   2003,Negative
4419,started 25mg 3wks ago doc replaced chlorthalidone diuretic   2wks noticed gained 13lbs change eating habits activity   knees ached   went emergency room shortness breath irregular heart beat     tired time   felt great starting med   bp fluctuating feel horrible   bp stable 20mg lisinopril 12 5 mg chlorthalidone   take anymore losartan,Negative
4421,drug made go hospital   gave bad headache   took cold sinus medicine   bad mistake   heart pvc  s   skipped beats   severe anxiety 196 115 pressure reading worst   hospital 2 days   bouts anxiety last week   things getting better   god good though   radically changed diet   exercising getting weight 49yr old 5   9   201 pounds   loss 11 pounds   like happens ditch caffeine well seems help,Negative
4422,dizziness   episode extreme level 1 10 5,Positive
4429,white coat hypertension occasionally mildly elevated bp circumstances   140 90 occasionally     decided proactive treating recent studies show white coat hypertension benign thought even occasional spikes lead damage   take 12 5 losartan issues whatsoever   first two weeks   strange burning sensation soles feet slight headache   two side effects gone within two weeks side effects   pressure says low   sure yet well mitigate white coat response     likely still spike maybe high     know keeping bp low consistently protective   also encouraged neuroprotective benefits losartan arbs   research looks promising drugs protect alzheimers dementia also protecting stroke heart attack     extremely careful taking medication nervous starting losartan reading reviews   wanted provide balanced review might help someone else needs effective medication,Positive
4431,bring bp many side effects included severe constipation   hair loss   depression   fatigue weight gain   stuck 3 months continue   waiting call back doctor,Negative
4432,3rd bp med   ve   one actually works   yes   dizzy days   near fainting     first   stopped bp normal low   time     like pharmaceuticals   md  s     drug likely saved life   stick success   toodles   sg,Positive
4441,nearly every bp medication made feel ill  dr put losartan 50mg week started feel ill dr reduced 25mg bp drop slightly   continued take 6 weeks thought okay suddenly started feel ill nauseous   felt tired time   joints ached especially knees painful would seize sat lay   seemed like aged 10yrs weeks   could hardly move   lost stone weight started losartan even though eating put half stone back   feel like losartan poisoning body stopped taking   bp medication poison dr   pushed pharma companies prescribe pills big business   going take anything else try exercise diet,Negative
4443,able see immediate results lowering blood pressure drug   however   experienced side effects drug   shortness breath   extreme fatigue   doctor prescribed beta blocker   hopefully work better,Negative
4444,medication helps stabilize bp numbers   make drowsy   able operate vehicle play golf    smile,Positive
4455,replaced atenolol losartan water pill lower bp   atenolol quit controlling bp 20 years beta blocker reducing heart beat   plus ugly side effects   new losartan reduces bp 175 75 far good,Positive
4464,really dose   keep,Negative
4466,diagnosed high blood pressure years ago,Negative
4474,started taking medication months ago one recalled   couple months noticed would wake every morning mild headache   arms shoulders started hurt   lot   shooting pain arms   especially right one point pain would keep night   blamed carrying heavy groceries   sleeping position   etc   went doctor requested another medication immediately,Negative
4477,taking amlodipine 10mg combined benazepril 20mg lotrel 10 20 cheaper say good things medication   bp control side effects gone first month two   notice reviewers jump wrong conclusion   allow enough time become adapted medication   review based aprox   14 months   give time see side effects go away,Positive
4484,think dosage enough,Positive
4486,started pill 4 days ago   bp went 134 82   started getting itchy rash   far problem   much better awful cough swollen legs previous bp meds     really hard know medicine good remember reading reviews   know condition people writing     hard compare,Positive
4487,ve losartan year   time   gained 15 pounds   always feel hungry   sweat profusely   first started taking losartan   bp stabilized   recent months become erratic     medication working unfavorable side effects     want take longer see physician next week find acceptable alternative,Negative
4497,taken 50mg losartan daily nearly 20 years side effects   runner physically active   worked well,Positive
4499,medication week   started getting symptoms including numbness tingling left side mouth lips   left index finger   big toe   scared   thought stroke   mouth became dry could   stand   switched lisinopril side effects losartan disappeared,Negative
4501,horrible experience medication   agree warnings  blacks   seem allergic reaction drug   coughed much   horrible constant cough   vomitted threw pissed process job   given medication help control reaction lotrel   remain home sick leave reaction   cough subsided   really horrible experience   time unaware reaction lotrel     checked around read warnings became aware medication   addition spoken co worker similar lesser reaction lotrel   shocked severity action hope experience ever   day left uncontrolable cough   kept medication reminder experience warning others unaware,Negative
4508,6 weeks diarrhea 24 7   extreme depression   dry cough heavy 6 weeks   sleeping 11 12 hours night sleeping 2 hour nap   like light   energy   desire   losing weight every day   bad thing way lose   kept telling cardiologist many times   kept saying medicine working   blood pressure kept rising never went   drs   said something else   stopped taking 8 days bad stuff went away blood pressure 20 points   lowest dose possible   don      take medicine,Negative
4511,ve taking lotrel many years   beginning cough went away   love medication     great     side effects know,Positive
4519,doctor started valsartan recalled   initial dose effective raised 100mg   experience extreme fatigue   get dizzy upon standing   tinnitus constant   bursitis hip shoulder     know related   top blood pressure initially plummeted   higher ever   doctor sweetheart   want hurt feelings get drug,Negative
4521,since started medicine bp always control   120 75   also periodic chest pain stopped totall,Positive
4531,took less week   made dizzy lightheaded even trying 1 2dose   quit taking snd felt better next day,Negative
4533,hop knee pain awful   new doctor   new pill dropped htc part felt better days joint pain started diminish first day,Negative
4534,ed side effect,Positive
4535,problems taking medicine   controlled bp well,Positive
4543,important   beware blood pressure medication named losartan   please read      unprofessional   opinion happens millions people doctors refuse attribute symptoms losartan   think acctual medicine causes symptoms per say   strongly believe additives impurities put medicine factories produce china thailand acctually causing symptoms   symptoms come slowly   usually 3 6 weeks starting med   meaning whatever chemical impurity causing builds system start get negative effects   symptoms similar across board millions people taking drug 90   come generic losartan brand name   cozaar   people afford brand name insurance wo   cover   people   10   less   take medicine generic form significant side effects     may attribute medication doctor insists med     realizing manufacturing plant impurities added true culprit   symptoms across millions people taking medicine includes   people could develop one     anxiety   depression   gastrointestinal issues   back pain   muscle pain   leg weakness   knee pain   hip pain   diareah headaches neck pain dehydration electrolyte imbalance tittunus eye pain foggy vision nausea lack appetite weight loss weight gain palpitations heart flutters inability walk dizziness lightheartedness respiratory issues severe cough excess phlegm nasal congestion sinus issues flu like symptoms list goes   doctors treat symptoms realize related coming losartan blood pressure medication,Negative
4545,feel like   medications   much   took 2 weeks less respond body get pressure control feel great,Positive
4554,went losartan 50mg 7 months ago   told cardiologist   anything increased 100mg   told   anything insistence added diuretic 12 5 mg good results   wanted decrease stop losartan neither doctors would agree   bp diuretic 120 60   doctor told wanted decrease could slit pill   blood pressure stayed   started getting severe pain shoulders wrist   dropped losartan back 25mg pain decreased quite bit still   stopped losartan altogether pain bad   5 days   bp went 130 70,Negative
4556,although drug immediately lowered blood pressure   muscle weakness legs awful   avid runner tread meal exercising least 60 minutes per day   could hardly walk 10 minutes leg weakness   also felt like starting cold time   3 weeks kept getting worse took,Negative
4565,took losartan 50 mg many years   started noticing muscles beginning ache   especially right arm   also noticed blood pressure began respond medication anymore   cardiologist doubled daily dosage 100 mg daily   pain muscles tripled   right arm muscle feels like torn   lifting weights   shoulder muscles also began hurting really bad   quit losartan week ago muscle pain gone away,Negative
4567,recent type 1 diabetic sudden hbp   drug got normal three days side affects    adverse reaction diabetes meds hyperbolic treatments xanax,Positive
4579,medicine helped keep blood pressure control,Positive
4590,bp 145 95 prior taking losartan   50mg     initially appeared working   3 months bp began creep right back 145 95   dr  recommended increasing 100mg   2 months bp still 140 90 range   side effects   foot cramping   slightly high liver enzyme levels weight gain   dr  putting amiodipine see works better,Negative
4605,six weeks came unexplained fever major fatigue   another 4 weeks started muscle weakness resulted inability walk without great struggle   loss hand dexterity   etc   ten days stopping med   balance walking better zippers   example   became easier   still improving,Negative
4618,zero side effects discussed   feel fine drug least 5 years   ca   remember   dr  changed insurance covering med     reviewing counter say drug awful   lowered bp 140 92   sometimes higher   118 68   happy med,Positive
4620,change medication regular losartan   doc wanted decrease pressure slightly   medication decrease pressure bad reaction   lightheaded   dizzy   tired   went back regular losartan problems,Negative
4631,started losartan 25mg ten days ago   feel like someone beat living daylights   every joint muscle hurts   extremely stiff week   insomnia horrible   fatigue worst       ever experienced   went bloodwork yesterday results good   bp tested doctors office today   bp higher started taking junk   pcp brushing side effects touch flu   know otherwise   regardless doctor thinks   taking anymore,Negative
4634,medicine reduced blood pressure shortly taking   gave intense stomach pain intestinal issues   went 3 days   pains subsided bp went     dr said could   lotrel   see gp   went gp ordered ultrasound upper gi   everything normal   went back lotrel   side effect   worth adverse side effect   hoping dr prescribe something else gentle stomach,Negative
4643,lower hp experienced severe muscle tightness pain glutes   pain rapidly went away shortly going rx,Negative
4646,worked well past 5 yrs     seem side effects   yr   developed  fib   cardo verte   procedure groin     issue pressure,Positive
4658,dizzy time   coughing energy   insomnia doctor changed blood pressure medicine symptoms gone,Negative
4660,developed  fib taking drug short period time   taking medications     natural diuretics   food   blood pressure consistently lower ever losartin,Negative
4661,trying three years find bp medicine worked   doctor put losartan hctz 100 25 added hydralazine 25  seemed trick   four years barely walk   feet checked nerve damage   none   blaming condition losartan hope find another bp drug keep pressure within reason   side effects mucous nose   tiredness   lack energy   itching hives   runny eyes   muscle cramps could go another page,Negative
4673,taking 50mg losartan hcg along amlodipine 5mg   blood pressure would 140 98   170 100   brought average 125 86   side effects far teell,Positive
4690,since taking medication   legs   ankles   feet   thighs swolen big hardly walk   awful,Negative
4691,ca   tell take   adverse affets   glad   protecting inside parts,Positive
4706,two episodes passing deep sleep vivid dreams   difficulity getting dreams   call emt   go hospital deep confusion   found medical cause   nightmares   sort peroids sleep wake   tired   muscle pain dull thinking   lower bp ca   live side effects,Negative
4708,sure safe eat grapefruit taking medicine   suggestions,Positive
4719,lowered bp raised heart rate 100  took atenolol lower heart rate terrible hair loss,Negative
4721,medication seems give stomach ache affects mt blood sugar levels,Negative
4735,took benicar 3 yrs   switch losartan due cost   within 2 weeks teeth   gums became sensitive pressure difficult chewing   dentist use sensodyne toothpaste   wear night guard   pain continued   6 months went back benicar   pain ceased,Negative
4738,blood pressure well controlled even better   day began lotrel    10 years ago   ended migraine   cluster   headaches       headache many years       love med,Positive
4749,take medicine get blurred vision spacey feeling tired   take   going sun give headache,Negative
4751,taken drug 5 days  the side effect terrible  palpitation   pain chest   left side     muscles spasm dry mouth loss appetite  should tell doctor   might think   trust,Negative
4766,since drug   started something   done since baby wet bed   start using urinary incontinence condom catheter bag     made appt   dr  meantime   went back old diltiazem   makes tired   sleep bag,Negative
4769,works effectively,Positive
4795,coughing like first try bp meds   experiencing insomnia wondered could side effect,Positive
4811,stop taking losartan   severe muscle cramps buttocks legs   times could barely walk   glad system return normal   pain everyday,Negative
4813,bp 121 77  pulse 64,Positive
4831,prescribed losartan hctz50 12 5mg per day yearly physical september   2013  say   lowered bp 140 80 106 60   expense weakness legs   dry mouth   important thing   believe caused trigeminal neuralgia   losartan opens blood vessels veins help reduce blood pressure   think dilation blood vessels brain caused rub trigeminal nerve triggered painful attack   weaning stuff   taking gabapentin   300mg  3 day     want get drug system soon possible    s   talk dr  something else next visit   good luck,Negative
4845,liked worked expected,Positive
4848,medication great   take every morning upon rising   matter fact   miss dose   usually dull headache feel lightheaded noon   perceive gentle reminder forgot take,Positive
4857,doctor prescribed medication tia brought diabetes   medication side effect making feel relax   also lowered blood pressure   like,Positive
4859,take losartan 8 days vacation   result swollen ankles   cold night sweats   extreme fatigue seeing doctor   2 days,Positive
4860,find drug works,Positive
4861,drug taken worked   dry cough dizziness light headedness times   overall pleased effectiveness,Positive
4872,sure   first took   downed day   pumping 90 105 55 60   three days vegging cut script half   week waking 125 60 area   two weeks   started climb waking 130s one day   140s next   150s   today woke 166 100   go figure,Negative
4885,within days starting treatment   bp 150 80 dropped 120 60,Positive
4887,feeling energy clear headed since switching atenenols combo years   previously tried lisinopril amolidipine   heart rate improved 54 64 probably incredibly tired time,Positive
4888,started taking lisinopril med gave wierd side effects   pumping back head   switched lotrel   seems work better   bp normal,Positive
4899,2 weeks   avid runner   medicine   barely able walk without pain cramps spasms legs   muscle cramps night   also constant nasal drip   recommended active person,Negative
4908,stared pressure neck pressure went 160 100   think medinic one kidney level liver count went   walking every day hopefully blood pressure go,Negative
4910,switch benicar   due insurance   severe leg cramps  peripheral neuropathy feet   know medication caused   going blood tests mri   along nerve tests   neurologist shrugged shoulders said     know     research internet found posts said losartan caused peripheral neuropathy others asked doctor switch   within days feet getting better     ever assume medication problem,Negative
4911,low energy   sleep issues   feel disoriented   confused   digestion,Negative
4912,ve taken two doses stuff     quitting right   terrible shakes   heart rate went normal 78 80 110 med   yes   bp went     feel   much   worse,Negative
4920,im amlodipine 2weeks losartan 50g leg cramps   foggy head   difficult breathing feeling weak dizziness think im getting worst   lower bp 130 120 90 80   wonder happen took 2 drugs system try ng natural way lowering bp   diet exercise  im 35,Negative
4923,take amlodipine benazepril   generic lotrel   10 20 5 6 years   works fine   lower leg swelling day   returns normal bed rest night   dry cough mostly night   alleviated use extra strength fishermans friend lozenge sip jagermeister   kept within easy reach headboard,Positive
4929,started taking losartan 50 mg amlodipine 10 mg control high blood pressure long ago   side affects far   knock wood   blood pressure average 120 130 70 80 range   decided post review majority reviews pretty scary   remember happy customers tell 3 people angry customers tell 3000   rule applies   doctor recommends   try   quit anytime get side effect live,Positive
4932,lotrel 10 40 fantastic job lowering blood pressure   negatives   decrease libido weight gain dry cough   terrible   ankle swelling well worked control hypertension side effects tolerable dropped medication,Negative
4940,taken 3 days developed severe cough flu like symptoms will stop taking since reading side effects   thank,Negative
4941,developed horseness   nasel drip   lpr   reflux   tired   loss hair blood profile showed low salt chloride  diovan doctor changed valsartan   insurancce would cover   would cover losartan   bad drug,Negative
4948,losartan good   screws kidnys   joints muscels   gives bad cough   put garbage,Negative
4951,works lowering blood pressure,Positive
4957,prescribed losartan 25 mg control hypertension   systolic bp varied 150 165 115 130    ve side effects   wife takes lisinopril persistent cough   problems losartan take breakfast every day,Positive
4959,downside frequent urination,Positive
4960,taken generic lotrel 5 years witout apparent side effects,Positive
4966,100mg year   major stomach problems   saw gastro dr   3x      last year   wasn      stomach   went 50   stomach better   mouth   throat tongue fire   also take 10mg bystolic dietetic  horrible back spasms constantly   dr  says meds aren      cause   didn      lower bp much losartan   sure drug causing issues   hard pin point   anyone else mouth problems drug,Negative
4975,losartan awhile   developed urinary problems frequent urination   burning painful urination   bladder pain treated uti   terrible burning pain neck   back arm left side month   weight loss   shortness breath   kinds test   trips er 2 gynos   stopping medication today see improve   medication destroyed life   destroyed health   6 doctors,Negative
4977,third blood pressure mediaction body reaction   labs abnormal   sodium   potassium   calcium plus horrible face rash abcess hair loss,Negative
4992,caused bowel blockage  abdomen cramps,Negative
4994,started taking 300 mg every night stomach aches   also feeling urinating every 2 hrs night means   get much sleep     tried taking morning made tired function work,Negative
4996,medication   generic form   18 years   kept hypertension within normal guidelines side effects ever,Positive
5012,taking 12 months testing vasculitus problems 9 months almost   50 000 tests find joint muscle problems seemed caused losaratan   stopped 4 days ago 80   problems stopped listed rare side effect   loosing control point suiside,Negative
5015,last medication taken hypertension worked satisfactorily,Positive
5026,taking drug 3 years   lowered blood pressure greatly   120 70   deadly high   worked immediately   little tired   little less hair   get new eye prescription   minor things   exercise daily   feel great   exercise daily   feel better   seem interfere sex pills either     smile   remember   mind controls body   body control mind  64 year old   old,Positive
5033,started losartin 6 months ago   started slight indigestion plus overall back hip pains   would thought anything indigestion turned acid reflux back hip pains became unbearable   also   chronic symptoms ibs   started looking reviews drug seems symptoms uncommon months usage   brought reputable cardiologist wanted dismiss symptoms   insisted switch low behold   assumptions correct   done   would going gastro orthopedist try find answer     sure drug works   pay attention symptoms,Negative
5036,tia put losartan   medicine caused extremely painful cramps point cramping multiple times day   sometimes even driving   stopped taking cramps started affecting sleep,Negative
5045,several years family meds went toxic   swelled   pitting edema face   blood pressure went triple digits   gained 40   felt like full poison   using clonidine hctz 2 blood pressure stabilizing swelling gone except feet sometimes   trying get weight exercise diet     lost darn pound   starting feel better   still bad days,Negative
5046,tried several medications   one work well using 5yrs,Positive
5052,classic substandard medicine   americans subjected roulette wheel medicine high blood pressure medications   first blood pressure medication losartan one week blood level increased 190 100 never experienced stayed high nearly entire day   next day stopped late morning felt better blood pressure decreased 130 80   highest blood pressure normally took losartan 150s 80s,Negative
5055,ve taking 6 months great results side effects,Positive
5061,made drouesy,Negative
5063,started med   2 years ago seemed work   past 4 months dealt many side effects want scream want people know   caused painful urination   swollen joint   fatigue   rash itching   nasal conjstn   blurry vision   dry mouth   back pain   bowel troubles   awful caused depressed things going   plus sleep lose worry   prescribed pay attention body quit start feeling bad   gets worse longer take,Negative
5064,mild hypertension   works well,Positive
5065,concern understand calcium channel blocker means,Positive
5070,appear lowered blood pressure   started 25 mg   50mg   100mg month   readings   changed approx 145 75 start   seeing cardiologist week plan treatment,Negative
5072,took drug caused severe hypoglycemia   taken hospital,Negative
5073,doctor switch blood pressure medication 3 times found medication worked well   losartan   taking   3 months   liked losartan   noticed side effects recently   maybe  s   experiencing   losartan pills used get cvs round white   took 2 months worked great   last time went get prescription losartan though pills oblong yellow   tried look pills online found pictures losartan pictures   taking   imprinted apo one side 10012 5     noticed yellow losartan ills get stomach discomfort take first thing morning empty stomach   pills   white   never bothered   also noticed swelling ankles toward end day never   wondered maybe coating pill   yellow   different something else body   like       doctor realize could body   overall   medication worked better past two medications   atenolol amlodipine besylate   atenolol controlled blood pressure made ears ring real bad   amlodipine work,Positive
5085,started 25mg bp   drop remained 192 118 increased dose 50mg nothing still taking drug something else feel like crap everyday talked doc remove drug coz always felt week like faint constantly tired late started feeling dry mouth at least know cause thanks platform,Negative
5087,due someones error taking 200mg med   hospital since year ago   finally raised red flag last hospital stay losartan dose   anyone tell overdose issue med   states right script bottle take one pill mouth twice day   ca   seem get feeling better   stop constant sick feeling,Negative
5088,hate medicine   many side effects   gout   cough   sinusitis   knee pain joint pain     helped blood pressure either   made tacky  cardia worse   possibly caused problems stationary tubes ringing noises ears   lost hearing   band drug  never problems stationary tubes put drug,Negative
5089,extremely satisfied drug   lowered high blood pressure tremendously     talking 180 100 135 70 absolutely great   one benefit receive longer get migraines   get migraine   never full blown nowhere near strong   think get lower blood pressure naturally   would want stay anyway keep migraines away   thing   like sometimes take capsule   causes type weird burp stomach something   pleasant   happen time think might gerd pill,Positive
5094,med made life hell   dr  put side effects med   med stopped got life back,Negative
5097,taking medication 2 years first medication actually keep blood pressure control   experience coughing definately feel 100   better overall since taking medication,Positive
5105,grateful found site reviews    ve drug 6 months helping blood pressure   decided see could find reviews drug   wow   site enforce drug work well   also enlightened many issues    ve migraines   swollen ankles   achy muscles absolutely energy   connected medication   stopped taking 5 days ago already feeling much better,Negative
5107,stop coughing medication   thick mucus throat   travels stomach gives upset stomach     take medication unless want endless coughing,Negative
5108,upset stomach nervousness,Negative
